1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	74
1	J	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	105
5	J	106
4	W	106
5	R	106
4	J	108
5	E	108
4	R	109
4	W	114
0	R	114
4	J	385
4	R	385
0	J	385
4	W	386
0	R	386
4	J	456
4	R	456
0	J	456
4	W	456
0	R	456
4	J	469
4	R	469
0	J	469
4	W	469
0	R	469
4	J	565
4	R	565
0	J	565
4	W	565
0	R	566
4	J	764
4	R	764
0	J	764
4	W	764
0	R	764
4	J	820
4	R	821
0	J	821
4	W	827
0	R	827
4	J	832
4	R	832
0	J	832
4	W	832
0	R	832
4	J	906
4	R	906
0	J	906
4	W	906
0	R	906
4	J	1009
4	R	1009
0	J	1009
6	N	1010
6	J	1011
4	W	1011
6	R	1011
7	N	1013
7	J	1013
8	N	1013
8	J	1014
9	N	1014
9	J	1015
10	N	1015
10	J	1015
11	N	1015
11	J	1016
12	N	1016
12	J	1017
13	N	1017
13	J	1017
14	N	1017
14	J	1018
15	N	1018
15	J	1019
16	N	1019
16	J	1019
17	N	1019
17	J	1020
18	N	1020
18	J	1021
19	N	1021
19	J	1021
20	N	1021
20	J	1022
21	N	1022
21	J	1023
22	N	1023
22	J	1023
23	N	1023
23	J	1024
24	N	1024
24	J	1025
25	N	1025
25	J	1025
26	N	1025
26	J	1026
6	J	1026
26	R	1026
26	J	1041
25	R	1041
25	J	1056
24	R	1056
24	J	1071
23	R	1071
23	J	1086
22	R	1086
22	J	1101
21	R	1101
21	J	1116
20	R	1116
20	J	1131
19	R	1131
19	J	1146
18	R	1146
18	J	1161
17	R	1161
17	J	1176
16	R	1176
16	J	1191
15	R	1191
15	J	1206
14	R	1206
14	J	1221
13	R	1221
13	J	1236
12	R	1236
12	J	1251
11	R	1251
11	J	1266
10	R	1266
10	J	1281
9	R	1281
9	J	1296
8	R	1296
8	J	1311
7	R	1311
7	W	1311
26	R	1311
26	J	1326
25	R	1326
25	J	1341
24	R	1341
24	J	1356
23	R	1356
23	J	1371
22	R	1371
22	J	1386
21	R	1386
21	J	1401
20	R	1401
7	J	1416
20	J	1416
7	R	1416
7	W	1416
19	R	1416
19	J	1431
18	R	1431
18	J	1446
17	R	1446
17	J	1461
16	R	1461
16	J	1476
15	R	1476
15	J	1491
14	R	1491
14	J	1506
13	R	1506
7	J	1521
13	J	1521
7	R	1521
7	W	1521
12	R	1521
12	J	1536
11	R	1536
11	J	1551
10	R	1551
10	J	1566
9	R	1566
9	J	1581
8	R	1581
8	J	1596
6	R	1596
6	W	1597
26	R	1597
26	J	1612
25	R	1612
7	J	1627
25	J	1627
7	R	1627
7	W	1627
24	R	1627
24	J	1642
23	R	1642
23	J	1657
22	R	1657
22	J	1672
21	R	1672
21	J	1687
20	R	1687
20	J	1702
19	R	1702
19	J	1717
18	R	1717
7	J	1732
18	J	1732
7	R	1732
7	W	1732
17	R	1732
17	J	1747
16	R	1747
16	J	1762
15	R	1762
15	J	1777
14	R	1777
14	J	1792
13	R	1792
13	J	1807
12	R	1807
12	J	1822
11	R	1822
7	J	1837
11	J	1837
7	R	1837
7	W	1837
10	R	1837
10	J	1852
9	R	1852
9	J	1867
8	R	1867
8	J	1882
26	R	1882
26	J	1897
25	R	1897
25	J	1912
24	R	1912
24	J	1927
23	R	1927
7	J	1942
23	J	1942
7	R	1942
7	W	1942
22	R	1942
22	J	1957
21	R	1957
21	J	1972
20	R	1972
20	J	1987
19	R	1987
19	J	2002
18	R	2002
18	J	2017
17	R	2017
17	J	2032
16	R	2032
7	J	2047
16	J	2047
7	R	2047
7	W	2047
15	R	2047
15	J	2062
14	R	2062
14	J	2077
